à	Outil	PRE
abattre	CM2	VER
abeille	CE1	NOM
abondance	CM1	NOM
abondant	CM2	ADJ
aborder	CM1	VER
aboutir	CE2	VER
abriter	CM1	VER
absent	CM2	ADJ
absolu	CM2	NOM/ADJ
absolument	CM2	ADV
abuser	CM1	VER
accident	CM1	NOM
acclamer	CM2	VER
accord	CM2	NOM
accorder	CM1	VER
accuser	CM2	VER
acharner	CM2	VER
achat	CP	NOM
acheter	CE2	VER
acheteur	CM1	NOM
achever	CM1	VER
acier	CM2	NOM
acte	CE1	NOM
actif	CE2	ADJ
action	CE2	NOM
activer	CM1	VER
activité	CM1	NOM
actuel	CM2	ADJ
actuellement	CM1	ADV
adieu	CE2	NOM
administration	CM1	NOM
admirable	CE2	ADJ
admiration	CM1	NOM
admirer	CM1	VER
adopter	CM2	VER
adorer	CM1	VER
adoucir	CM1	VER
adresse	CM1	NOM
adresser	CM2	VER
adroit	CE2	ADJ
adversaire	CM1	NOM/ADJ
aérer	CM2	VER
affaiblir	CE2	VER
affaire	CM1	NOM
affection	CM2	NOM
affectueux	CM2	ADJ
affiche	CM1	NOM
affreux	CM2	ADJ
afin	CM1	PRE
âge	CE2	NOM
agenouiller	CM2	VER
agent	CE2	NOM
agile	CM1	ADJ
agir	CM1	VER
agitation	CM1	NOM
agréable	CE1	ADJ
agréablement	CE2	ADV
agrément	CM1	NOM
agrémenter	CM1	VER
aide	CE2	NOM
aider	CM2	VER
aiguille	CM1	NOM
aile	CE2	NOM
aimable	CM1	ADJ
aimer	CE2	VER
air	CE2	NOM
aise	CM1	NOM
ajouter	CE2	VER
alerte	CM1	NOM
aliment	CE2	NOM
allée	CE2	NOM
aller	CE2	VER
allonger	CM1	VER
allumer	CM2	VER
allumette	CM1	NOM
allure	CM2	NOM
alors	CM1	ADV
alouette	CM2	NOM
amateur	CE1	NOM/ADJ
âme	CE2	NOM
amener	CM1	VER
ami	CE2	NOM/ADJ
amical	CM1	ADJ
amicalement	CM1	ADV
amour	CE1	NOM
amusant	CM1	ADJ
amusement	CE2	NOM
amuser	CM1	VER
an	CM1	NOM
ancien	CM2	ADJ/NOM
âne	CE1	NOM
ange	CE1	NOM
anglais	CM1	NOM/ADJ
angle	CM1	NOM
animal	CP	NOM/ADJ
animation	CM1	NOM
animer	CM2	VER
année	CP	NOM
annonce	CM1	NOM
apostolique	CM1	ADJ
apôtre	CM1	NOM
apparence	CM2	NOM
apparition	CM2	NOM
appartement	CM1	NOM
appartenir	CM1	VER
appel	CM2	NOM
application	CM1	NOM
apporter	CM2	VER
